commence_date,commence_hour,home_team,away_team,bookmaker_key,bookmaker_title,market_key,outcome_name,outcome_price,outcome_point
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,draftkings,DraftKings,h2h,Chicago Bulls,390,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,draftkings,DraftKings,h2h,Milwaukee Bucks,-600,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,draftkings,DraftKings,spreads,Chicago Bulls,-105,6.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,draftkings,DraftKings,spreads,Milwaukee Bucks,-125,-6.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,draftkings,DraftKings,totals,Over,-115,208.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,draftkings,DraftKings,totals,Under,-115,208.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,williamhill_us,Caesars,h2h,Chicago Bulls,400,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,williamhill_us,Caesars,h2h,Milwaukee Bucks,-600,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,williamhill_us,Caesars,spreads,Chicago Bulls,-120,7.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,williamhill_us,Caesars,spreads,Milwaukee Bucks,-110,-7.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,williamhill_us,Caesars,totals,Over,-110,211.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,williamhill_us,Caesars,totals,Under,-120,211.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,mybookieag,MyBookie.ag,h2h,Chicago Bulls,650,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,mybookieag,MyBookie.ag,h2h,Milwaukee Bucks,-2500,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,mybookieag,MyBookie.ag,spreads,Chicago Bulls,-115,13.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,mybookieag,MyBookie.ag,spreads,Milwaukee Bucks,-115,-13.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,mybookieag,MyBookie.ag,totals,Over,-120,210.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,mybookieag,MyBookie.ag,totals,Under,-110,210.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,fanduel,FanDuel,h2h,Chicago Bulls,560,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,fanduel,FanDuel,h2h,Milwaukee Bucks,-1000,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,fanduel,FanDuel,spreads,Chicago Bulls,-128,8.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,fanduel,FanDuel,spreads,Milwaukee Bucks,-102,-8.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,fanduel,FanDuel,totals,Over,-122,208.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,fanduel,FanDuel,totals,Under,-106,208.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,pointsbetus,PointsBet (US),h2h,Chicago Bulls,550,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,pointsbetus,PointsBet (US),h2h,Milwaukee Bucks,-900,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,pointsbetus,PointsBet (US),spreads,Chicago Bulls,-112,8.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,pointsbetus,PointsBet (US),spreads,Milwaukee Bucks,-112,-8.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,pointsbetus,PointsBet (US),totals,Over,-112,212.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,pointsbetus,PointsBet (US),totals,Under,-112,212.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,betmgm,BetMGM,h2h,Chicago Bulls,500,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,betmgm,BetMGM,h2h,Milwaukee Bucks,-800,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,betmgm,BetMGM,spreads,Chicago Bulls,-120,8.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,betmgm,BetMGM,spreads,Milwaukee Bucks,-110,-8.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,betmgm,BetMGM,totals,Over,-125,209.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,betmgm,BetMGM,totals,Under,-105,209.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,wynnbet,WynnBET,h2h,Chicago Bulls,675,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,wynnbet,WynnBET,h2h,Milwaukee Bucks,-1493,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,wynnbet,WynnBET,spreads,Chicago Bulls,-120,9.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,wynnbet,WynnBET,spreads,Milwaukee Bucks,-110,-9.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,wynnbet,WynnBET,totals,Over,-105,210.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,wynnbet,WynnBET,totals,Under,-125,210.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,betrivers,BetRivers,h2h,Chicago Bulls,480,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,betrivers,BetRivers,h2h,Milwaukee Bucks,-835,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,betrivers,BetRivers,spreads,Chicago Bulls,-120,8.0
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,betrivers,BetRivers,spreads,Milwaukee Bucks,-114,-8.0
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,betrivers,BetRivers,totals,Over,-114,208.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,betrivers,BetRivers,totals,Under,-118,208.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,unibet_us,Unibet,h2h,Chicago Bulls,480,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,unibet_us,Unibet,h2h,Milwaukee Bucks,-835,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,unibet_us,Unibet,spreads,Chicago Bulls,-121,8.0
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,unibet_us,Unibet,spreads,Milwaukee Bucks,-115,-8.0
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,unibet_us,Unibet,totals,Over,-115,208.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,unibet_us,Unibet,totals,Under,-120,208.5
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,bovada,Bovada,h2h,Chicago Bulls,550,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,bovada,Bovada,h2h,Milwaukee Bucks,-1000,
03/01/2024,10:13 PM,Chicago Bulls,Milwaukee Bucks,bovada,Bovada,spreads,Chicago Bulls,-110,8.5
