commence_date,commence_hour,home_team,away_team,bookmaker_key,bookmaker_title,market_key,outcome_name,outcome_price,outcome_point
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,fanduel,FanDuel,h2h,Kansas City Chiefs,106,
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,fanduel,FanDuel,h2h,San Francisco 49ers,-124,
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,fanduel,FanDuel,spreads,Kansas City Chiefs,-108,1.5
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,fanduel,FanDuel,spreads,San Francisco 49ers,-112,-1.5
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,fanduel,FanDuel,totals,Over,-110,47.5
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,fanduel,FanDuel,totals,Under,-110,47.5
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,lowvig,LowVig.ag,h2h,Kansas City Chiefs,110,
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,lowvig,LowVig.ag,h2h,San Francisco 49ers,-130,
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,lowvig,LowVig.ag,spreads,Kansas City Chiefs,-101,2.0
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,lowvig,LowVig.ag,spreads,San Francisco 49ers,-109,-2.0
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,lowvig,LowVig.ag,totals,Over,-106,47.5
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,lowvig,LowVig.ag,totals,Under,-108,47.5
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,betonlineag,BetOnline.ag,h2h,Kansas City Chiefs,110,
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,betonlineag,BetOnline.ag,h2h,San Francisco 49ers,-130,
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,betonlineag,BetOnline.ag,spreads,Kansas City Chiefs,-110,2.0
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,betonlineag,BetOnline.ag,spreads,San Francisco 49ers,-110,-2.0
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,betonlineag,BetOnline.ag,totals,Over,-110,47.5
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,betonlineag,BetOnline.ag,totals,Under,-110,47.5
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,unibet_us,Unibet,h2h,Kansas City Chiefs,107,
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,unibet_us,Unibet,h2h,San Francisco 49ers,-129,
02/11/2024,06:35 PM,Kansas City Chiefs,San Francisco 49ers,unibet_us,Unibet,spreads,Kansas City Chiefs,-110,2.0
