commence_date,commence_hour,home_team,away_team,bookmaker_key,bookmaker_title,market_key,outcome_name,outcome_price,outcome_point
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,betrivers,BetRivers,h2h,Boston Bruins,-245,
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,betrivers,BetRivers,h2h,St Louis Blues,195,
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,betrivers,BetRivers,spreads,Boston Bruins,110,-1.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,betrivers,BetRivers,spreads,St Louis Blues,-132,1.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,betrivers,BetRivers,totals,Over,-122,5.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,betrivers,BetRivers,totals,Under,102,5.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,unibet_us,Unibet,h2h,Boston Bruins,-245,
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,unibet_us,Unibet,h2h,St Louis Blues,195,
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,unibet_us,Unibet,spreads,Boston Bruins,110,-1.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,unibet_us,Unibet,spreads,St Louis Blues,-132,1.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,unibet_us,Unibet,totals,Over,-122,5.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,unibet_us,Unibet,totals,Under,102,5.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,lowvig,LowVig.ag,h2h,Boston Bruins,-223,
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,lowvig,LowVig.ag,h2h,St Louis Blues,197,
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,lowvig,LowVig.ag,spreads,Boston Bruins,114,-1.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,lowvig,LowVig.ag,spreads,St Louis Blues,-128,1.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,lowvig,LowVig.ag,totals,Over,-116,5.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,lowvig,LowVig.ag,totals,Under,100,5.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,betonlineag,BetOnline.ag,h2h,Boston Bruins,-223,
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,betonlineag,BetOnline.ag,h2h,St Louis Blues,197,
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,betonlineag,BetOnline.ag,spreads,Boston Bruins,111,-1.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,betonlineag,BetOnline.ag,spreads,St Louis Blues,-131,1.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,betonlineag,BetOnline.ag,totals,Over,-116,5.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,betonlineag,BetOnline.ag,totals,Under,100,5.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,fanduel,FanDuel,h2h,Boston Bruins,-230,
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,fanduel,FanDuel,h2h,St Louis Blues,188,
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,fanduel,FanDuel,spreads,Boston Bruins,112,-1.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,fanduel,FanDuel,spreads,St Louis Blues,-134,1.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,fanduel,FanDuel,totals,Over,-120,5.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,fanduel,FanDuel,totals,Under,-102,5.5
03/11/2024,07:00 PM,Boston Bruins,St Louis Blues,betmgm,BetMGM,h2h,Boston Bruins,-250,
