Date,Visitor,G,Home,G.1,Att.,LOG,Year
2022-10-07,San Jose Sharks,1.0,Nashville Predators,4.0,16648.0,2:43,2023
2022-10-08,Nashville Predators,3.0,San Jose Sharks,2.0,17023.0,2:33,2023
2022-10-11,Vegas Golden Knights,4.0,Los Angeles Kings,3.0,18230.0,2:31,2023
2022-10-11,Tampa Bay Lightning,1.0,New York Rangers,3.0,18006.0,2:21,2023
2022-10-12,Seattle Kraken,4.0,Anaheim Ducks,5.0,17530.0,2:28,2023
2022-10-12,Columbus Blue Jackets,1.0,Carolina Hurricanes,4.0,18824.0,2:37,2023
2022-10-12,Chicago Blackhawks,2.0,Colorado Avalanche,5.0,18143.0,2:19,2023
2022-10-12,Vancouver Canucks,3.0,Edmonton Oilers,5.0,18347.0,2:41,2023
2022-10-12,Toronto Maple Leafs,3.0,Montréal Canadiens,4.0,21105.0,2:30,2023
2022-10-12,Boston Bruins,5.0,Washington Capitals,2.0,18573.0,2:28,2023
2022-10-13,Ottawa Senators,1.0,Buffalo Sabres,4.0,15364.0,2:21,2023
2022-10-13,Colorado Avalanche,3.0,Calgary Flames,5.0,19289.0,2:35,2023
2022-10-13,Seattle Kraken,4.0,Los Angeles Kings,1.0,15645.0,2:28,2023
2022-10-13,New York Rangers,7.0,Minnesota Wild,3.0,18612.0,2:31,2023
2022-10-13,Dallas Stars,4.0,Nashville Predators,1.0,17692.0,2:26,2023
2022-10-13,Florida Panthers,3.0,New York Islanders,1.0,17255.0,2:36,2023
2022-10-13,New Jersey Devils,2.0,Philadelphia Flyers,5.0,19107.0,2:34,2023
2022-10-13,Arizona Coyotes,2.0,Pittsburgh Penguins,6.0,18355.0,2:34,2023
2022-10-13,Washington Capitals,2.0,Toronto Maple Leafs,3.0,18914.0,2:31,2023
2022-10-13,Chicago Blackhawks,0.0,Vegas Golden Knights,1.0,18467.0,2:27,2023
2022-10-14,Tampa Bay Lightning,5.0,Columbus Blue Jackets,2.0,18889.0,2:25,2023
2022-10-14,Montréal Canadiens,0.0,Detroit Red Wings,3.0,19515.0,2:30,2023
2022-10-14,Carolina Hurricanes,2.0,San Jose Sharks,1.0,17562.0,2:27,2023
2022-10-14,New York Rangers,1.0,Winnipeg Jets,4.0,14553.0,2:26,2023
2022-10-15,Arizona Coyotes,3.0,Boston Bruins,6.0,17850.0,2:33,2023
2022-10-15,Florida Panthers,4.0,Buffalo Sabres,3.0,11481.0,2:30,2023
2022-10-15,Nashville Predators,1.0,Dallas Stars,5.0,18532.0,2:30,2023
2022-10-15,Calgary Flames,4.0,Edmonton Oilers,3.0,18347.0,2:35,2023
2022-10-15,Los Angeles Kings,7.0,Minnesota Wild,6.0,18421.0,2:44,2023
2022-10-15,Detroit Red Wings,5.0,New Jersey Devils,2.0,16514.0,2:25,2023
2022-10-15,Anaheim Ducks,1.0,New York Islanders,7.0,16487.0,2:32,2023
2022-10-15,Vancouver Canucks,2.0,Philadelphia Flyers,3.0,14837.0,2:27,2023
2022-10-15,Tampa Bay Lightning,2.0,Pittsburgh Penguins,6.0,18416.0,2:25,2023
2022-10-15,Vegas Golden Knights,5.0,Seattle Kraken,2.0,17151.0,2:32,2023
2022-10-15,Chicago Blackhawks,5.0,San Jose Sharks,2.0,15219.0,2:22,2023
2022-10-15,Columbus Blue Jackets,2.0,St Louis Blues,5.0,18096.0,2:19,2023
2022-10-15,Ottawa Senators,2.0,Toronto Maple Leafs,3.0,18709.0,2:28,2023
2022-10-15,Montréal Canadiens,1.0,Washington Capitals,3.0,18573.0,2:29,2023
2022-10-17,Florida Panthers,3.0,Boston Bruins,5.0,17850.0,2:32,2023
2022-10-17,Winnipeg Jets,1.0,Dallas Stars,4.0,17875.0,2:22,2023
2022-10-17,Los Angeles Kings,5.0,Detroit Red Wings,4.0,15919.0,2:35,2023
2022-10-17,Colorado Avalanche,6.0,Minnesota Wild,3.0,17437.0,2:36,2023
2022-10-17,Pittsburgh Penguins,2.0,Montréal Canadiens,3.0,21105.0,2:32,2023
2022-10-17,Anaheim Ducks,4.0,New York Rangers,6.0,18006.0,2:29,2023
2022-10-17,Carolina Hurricanes,5.0,Seattle Kraken,1.0,17151.0,2:30,2023
2022-10-17,Arizona Coyotes,4.0,Toronto Maple Leafs,2.0,18346.0,2:28,2023
2022-10-17,Vancouver Canucks,4.0,Washington Capitals,6.0,18573.0,2:32,2023
2022-10-18,Vancouver Canucks,3.0,Columbus Blue Jackets,4.0,14060.0,2:30,2023
2022-10-18,Vegas Golden Knights,2.0,Calgary Flames,3.0,16944.0,2:34,2023
2022-10-18,Buffalo Sabres,4.0,Edmonton Oilers,2.0,16121.0,2:35,2023
2022-10-18,Anaheim Ducks,2.0,New Jersey Devils,4.0,10130.0,2:29,2023
2022-10-18,Los Angeles Kings,4.0,Nashville Predators,3.0,17159.0,2:35,2023
2022-10-18,San Jose Sharks,2.0,New York Islanders,5.0,13892.0,2:31,2023
2022-10-18,Boston Bruins,5.0,Ottawa Senators,7.0,19811.0,2:41,2023
2022-10-18,Philadelphia Flyers,3.0,Tampa Bay Lightning,2.0,19092.0,2:31,2023
2022-10-19,Winnipeg Jets,4.0,Colorado Avalanche,3.0,18062.0,2:26,2023
2022-10-19,Philadelphia Flyers,3.0,Florida Panthers,4.0,17421.0,2:38,2023
2022-10-19,St Louis Blues,4.0,Seattle Kraken,3.0,17151.0,2:27,2023
2022-10-20,Anaheim Ducks,1.0,Boston Bruins,2.0,17850.0,2:48,2023
2022-10-20,Nashville Predators,3.0,Columbus Blue Jackets,5.0,14691.0,2:37,2023
2022-10-20,Buffalo Sabres,6.0,Calgary Flames,3.0,17080.0,2:28,2023
2022-10-20,Carolina Hurricanes,4.0,Edmonton Oilers,6.0,16023.0,2:38,2023
2022-10-20,Vancouver Canucks,3.0,Minnesota Wild,4.0,17323.0,2:29,2023
2022-10-20,Arizona Coyotes,2.0,Montréal Canadiens,6.0,20691.0,2:28,2023
2022-10-20,New Jersey Devils,4.0,New York Islanders,1.0,16046.0,2:22,2023
2022-10-20,San Jose Sharks,3.0,New York Rangers,2.0,17083.0,2:27,2023
2022-10-20,Washington Capitals,2.0,Ottawa Senators,5.0,14210.0,2:28,2023
2022-10-20,Los Angeles Kings,1.0,Pittsburgh Penguins,6.0,17136.0,2:27,2023
2022-10-20,Dallas Stars,2.0,Toronto Maple Leafs,3.0,18488.0,2:50,2023
2022-10-20,Winnipeg Jets,2.0,Vegas Golden Knights,5.0,17777.0,2:19,2023
2022-10-21,Detroit Red Wings,3.0,Chicago Blackhawks,4.0,18753.0,2:31,2023
2022-10-21,Seattle Kraken,3.0,Colorado Avalanche,2.0,18131.0,2:26,2023
2022-10-21,Tampa Bay Lightning,3.0,Florida Panthers,2.0,17531.0,2:44,2023
2022-10-22,Minnesota Wild,3.0,Boston Bruins,4.0,17850.0,2:42,2023
2022-10-22,Pittsburgh Penguins,6.0,Columbus Blue Jackets,3.0,18051.0,2:35,2023
2022-10-22,Carolina Hurricanes,2.0,Calgary Flames,3.0,17210.0,2:27,2023
2022-10-22,St Louis Blues,2.0,Edmonton Oilers,0.0,17102.0,2:12,2023
2022-10-22,Dallas Stars,5.0,Montréal Canadiens,2.0,21105.0,2:26,2023
2022-10-22,San Jose Sharks,1.0,New Jersey Devils,2.0,11037.0,2:31,2023
2022-10-22,Philadelphia Flyers,3.0,Nashville Predators,1.0,17470.0,2:34,2023
2022-10-22,Arizona Coyotes,2.0,Ottawa Senators,6.0,15107.0,2:29,2023
2022-10-22,New York Islanders,3.0,Tampa Bay Lightning,5.0,19092.0,2:29,2023
2022-10-22,Buffalo Sabres,5.0,Vancouver Canucks,1.0,18809.0,2:26,2023
2022-10-22,Colorado Avalanche,3.0,Vegas Golden Knights,2.0,18207.0,2:29,2023
2022-10-22,Toronto Maple Leafs,4.0,Winnipeg Jets,1.0,15325.0,2:23,2023
2022-10-22,Los Angeles Kings,3.0,Washington Capitals,4.0,18573.0,2:26,2023
2022-10-23,Seattle Kraken,4.0,Chicago Blackhawks,5.0,14892.0,2:26,2023
2022-10-23,Anaheim Ducks,1.0,Detroit Red Wings,5.0,17932.0,2:33,2023
2022-10-23,New York Islanders,2.0,Florida Panthers,3.0,16342.0,2:26,2023
2022-10-23,Columbus Blue Jackets,5.0,New York Rangers,1.0,18006.0,2:23,2023
2022-10-23,San Jose Sharks,3.0,Philadelphia Flyers,0.0,14512.0,2:29,2023
2022-10-24,Pittsburgh Penguins,3.0,Edmonton Oilers,6.0,17392.0,2:27,2023
2022-10-24,Washington Capitals,6.0,New Jersey Devils,3.0,11405.0,2:31,2023
2022-10-24,Dallas Stars,2.0,Ottawa Senators,4.0,12088.0,2:29,2023
2022-10-24,Carolina Hurricanes,3.0,Vancouver Canucks,2.0,18775.0,2:34,2023
2022-10-24,Toronto Maple Leafs,1.0,Vegas Golden Knights,3.0,17989.0,2:35,2023
2022-10-24,St Louis Blues,0.0,Winnipeg Jets,4.0,13936.0,2:18,2023
2022-10-25,Dallas Stars,1.0,Boston Bruins,3.0,17850.0,2:27,2023
2022-10-25,Arizona Coyotes,6.0,Columbus Blue Jackets,3.0,14498.0,2:33,2023
2022-10-25,Pittsburgh Penguins,1.0,Calgary Flames,4.0,17628.0,2:28,2023
2022-10-25,Florida Panthers,2.0,Chicago Blackhawks,4.0,12859.0,2:28,2023
2022-10-25,New Jersey Devils,6.0,Detroit Red Wings,2.0,16546.0,2:27,2023
2022-10-25,Tampa Bay Lightning,2.0,Los Angeles Kings,4.0,16480.0,2:26,2023
2022-10-25,Minnesota Wild,3.0,Montréal Canadiens,1.0,20867.0,2:24,2023
2022-10-25,Colorado Avalanche,3.0,New York Rangers,2.0,18006.0,2:47,2023
2022-10-25,Buffalo Sabres,1.0,Seattle Kraken,5.0,17151.0,2:21,2023
2022-10-25,Vegas Golden Knights,4.0,San Jose Sharks,2.0,12003.0,2:26,2023
2022-10-26,Tampa Bay Lightning,4.0,Anaheim Ducks,2.0,14889.0,2:31,2023
2022-10-26,New York Rangers,0.0,New York Islanders,3.0,17255.0,2:25,2023
2022-10-26,Edmonton Oilers,3.0,St Louis Blues,1.0,18096.0,2:24,2023
2022-10-27,Detroit Red Wings,1.0,Boston Bruins,5.0,17850.0,2:31,2023
2022-10-27,Montréal Canadiens,3.0,Buffalo Sabres,2.0,12735.0,2:21,2023
2022-10-27,Edmonton Oilers,6.0,Chicago Blackhawks,5.0,13685.0,2:38,2023
2022-10-27,Washington Capitals,0.0,Dallas Stars,2.0,18235.0,2:25,2023
2022-10-27,Winnipeg Jets,6.0,Los Angeles Kings,4.0,15716.0,2:25,2023
