commence_date,commence_hour,home_team,away_team,bookmaker_key,bookmaker_title,market_key,outcome_name,outcome_price,outcome_point
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,barstool,Barstool Sportsbook,h2h,Las Vegas Aces,-145,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,barstool,Barstool Sportsbook,h2h,New York Liberty,115,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,barstool,Barstool Sportsbook,spreads,Las Vegas Aces,-115,-2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,barstool,Barstool Sportsbook,spreads,New York Liberty,-115,2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,barstool,Barstool Sportsbook,totals,Over,-115,172.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,barstool,Barstool Sportsbook,totals,Under,-115,172.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,pointsbetus,PointsBet (US),h2h,Las Vegas Aces,-145,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,pointsbetus,PointsBet (US),h2h,New York Liberty,110,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,pointsbetus,PointsBet (US),spreads,Las Vegas Aces,-115,-2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,pointsbetus,PointsBet (US),spreads,New York Liberty,-115,2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,pointsbetus,PointsBet (US),totals,Over,-115,172.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,pointsbetus,PointsBet (US),totals,Under,-115,172.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,mybookieag,MyBookie.ag,h2h,Las Vegas Aces,-144,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,mybookieag,MyBookie.ag,h2h,New York Liberty,118,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,mybookieag,MyBookie.ag,spreads,Las Vegas Aces,-110,-2.5
